WKT,SISTEMA_DE,PUNTO_DE_M,N,E,Nitrato,Distrito,Canton,Provincia,r_cont_n,c_canton,POINT_X,POINT_Y
"POINT (521874.0 1099165.0)",BUENAVISTA DE PACAYAS: SECTOR NORTE,NACIENTE BUENAVISTA 1 (H. AGUILAR 1),"1099165","521874",7.04000000000,Capellades,Alvarado,Cartago,1.00000000000,"306",-83.80050800670,9.94045181409
"POINT (521793.0 1099158.0)",BUENAVISTA DE PACAYAS: SECTOR NORTE,NACIENTE BUENAVISTA 2 (H. AGUILAR 2),"1099158","521793",7.41000000000,Capellades,Alvarado,Cartago,1.00000000000,"306",-83.80124676600,9.94038896060
"POINT (520542.0 1095901.0)",SISTEMA 7: PACAYAS BUENOS AIRES,NACIENTE MAINOR,"1095901","520542",24.98000000000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.81267264430,9.91094622679
"POINT (520757.999999999 1099113.0)",SISTEMA 3 PACAYAS PATALILLO BARRIO FÁTIMA,NACIENTE LA ISLA,"1099113","520758",25.72750000000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.81068621460,9.93998754848
"POINT (518940.0 1095429.0)",SISTEMA 4 PACAYAS LOS ÁNGELES,LOS ANGELES 1 (Jose Castro),"1095429","518940",8.02916700000,Pacayas,Alvarado,Cartago,1.00000000000,"306",-83.82728384610,9.90668629823
"POINT (520961.0 1096703.0)",SISTEMA 6 LOURDES VICENTE SERRANO,NACIENTE VICENTE SERRANO,"1096703","520961",27.10454500000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.80884749760,9.91819564180
"POINT (522693.000000002 1097813.0)",SISTEMA 1 CAPELLADES CENTRO,NACIENTE ABRAHAM 1,"1097813","522693",5.19800000000,Capellades,Alvarado,Cartago,1.00000000000,"306",-83.79304640170,9.92822271641
"POINT (519244.000000001 1096497.0)",SISTEMA 10 PACAYAS LLANO GRANDE 3,NACIENTE ANIBAL BARQUERO,"1096497","519244",4.53900000000,Pacayas,Alvarado,Cartago,1.00000000000,"306",-83.82450650750,9.91634157395
"POINT (520961.0 1098007.0)",SISTEMA 1 PACAYAS CENTRO,NACIENTE BARBACOAS,"1098007","520961",13.86000000000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.80884065980,9.92998621565
"POINT (520480.0 1097758.0)",SISTEMA 15 LOURDES SECTOR LOS BRENES,NACIENTE ZENÓN LEANDRO,"1097758","520480",21.17285700000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.81322852560,9.92773726831
"POINT (524452.0 1097175.0)",SISTEMA 3 CAPELLADES CALLEJÓN (LOURDES),NACIENTE CALLEJÓN 1,"1097175","524452",4.92818200000,Capellades,Alvarado,Cartago,1.00000000000,"306",-83.77700881430,9.92244373876
"POINT (522558.0 1097569.0)",SISTEMA 1 CAPELLADES CENTRO,NACIENTE EL SALTO,"1097569","522558",3.85000000000,Pacayas,Alvarado,Cartago,1.00000000000,"306",-83.79427893450,9.92601726501
